GMT Time,Ancillary Price - DR-L - GB (£/MW/h),Month,Day,EFA Block,Volume Requirements Forecast - DR-L - GB (MW),Ancillary Volume Accepted - DR-L - GB (MW),"Day Ahead Price (EPEX, local) - GB (£/MWh)","Day Ahead Price (N2EX, local) - GB (£/MWh)",National Demand Forecast (NDF) - GB (MW),"Day Ahead Price (EPEX half-hourly, local) - GB (£/MWh)"
2023-01-10 03:00:00,13.7,1,2,1,80,15.0,86.475,86.175,23616.625,60.3
2023-01-10 07:00:00,18.0,1,2,2,80,23.0,111.025,110.0975,23424.25,75.09375
2023-01-10 11:00:00,18.0,1,2,3,80,33.0,161.60000000000002,155.36249999999998,34574.625,152.5625
2023-01-10 15:00:00,20.0,1,2,4,80,5.0,139.7,137.9225,36426.5,136.54375
2023-01-10 19:00:00,17.75,1,2,5,80,25.0,149.0375,142.7525,37049.75,166.1625
2023-01-10 23:00:00,3.0,1,2,6,80,23.0,104.8,102.1825,30373.0,148.5
2023-01-11 03:00:00,3.0,1,3,1,80,27.0,23.175,17.9425,21602.25,85.9625
2023-01-11 07:00:00,10.11,1,3,2,80,42.0,42.85,38.6225,21418.625,101.3875
2023-01-11 11:00:00,10.19,1,3,3,80,48.0,140.725,133.305,32713.75,154.825
2023-01-11 15:00:00,15.0,1,3,4,80,13.0,138.6375,129.6025,33333.5,138.4125
2023-01-11 19:00:00,7.0,1,3,5,80,25.0,159.475,159.0125,37253.0,150.74375
2023-01-11 23:00:00,8.0,1,3,6,80,31.0,116.0,112.745,31422.875,96.275
2023-01-12 03:00:00,3.0,1,4,1,80,21.0,44.6,21.29,22421.875,0.5500000000000003
2023-01-12 07:00:00,15.0,1,4,2,80,28.0,63.4,44.43,22110.125,27.8
2023-01-12 11:00:00,11.42,1,4,3,80,43.0,149.75,161.115,33200.0,137.45
2023-01-12 15:00:00,0.5,1,4,4,80,19.0,140.9,121.3075,33938.0,135.5125
2023-01-12 19:00:00,11.47,1,4,5,80,19.0,147.525,144.3375,36564.875,155.6
2023-01-12 23:00:00,5.0,1,4,6,80,36.0,102.6625,102.14750000000001,30558.0,120.235
2023-01-13 03:00:00,3.0,1,5,1,80,22.0,9.450000000000001,9.1525,21480.25,11.45
2023-01-13 07:00:00,11.36,1,5,2,80,38.0,33.5,32.567499999999995,21195.0,50.5
2023-01-13 11:00:00,11.44,1,5,3,80,42.0,132.45,140.47,32178.75,150.025
2023-01-13 15:00:00,0.0,1,5,4,80,1.0,127.375,126.5875,32001.25,124.475
2023-01-13 19:00:00,12.0,1,5,5,80,40.0,152.0875,153.98,36090.0,146.6
2023-01-13 23:00:00,3.0,1,5,6,80,19.0,135.975,135.2775,31955.0,110.125
2023-01-14 03:00:00,0.0,1,6,1,80,18.0,52.25,65.47500000000001,23127.25,19.56875
2023-01-14 07:00:00,0.0,1,6,2,80,34.0,33.625,38.48,20331.875,40.0
2023-01-14 11:00:00,0.0,1,6,3,80,42.0,101.1,121.685,27678.0,139.6
2023-01-14 15:00:00,,1,6,4,80,6.0,117.05,121.13,29888.0,127.44999999999999
