GMT Time,Volume Requirements Forecast - DC-H - GB (MW),Volume Requirements Forecast - DC-L - GB (MW),Volume Requirements Forecast - DR-H - GB (MW),Volume Requirements Forecast - DR-L - GB (MW),Volume Requirements Forecast - DM-H - GB (MW),Volume Requirements Forecast - DM-L - GB (MW),Ancillary Volume Accepted - DC-H - GB (MW),Ancillary Volume Accepted - DC-L - GB (MW),Ancillary Volume Accepted - DR-H - GB (MW),Ancillary Volume Accepted - DR-L - GB (MW),Ancillary Volume Accepted - DM-H - GB (MW),Ancillary Volume Accepted - DM-L - GB (MW),Ancillary Price - DC-H - GB (£/MW/h),Ancillary Price - DC-L - GB (£/MW/h),Ancillary Price - DR-H - GB (£/MW/h),Ancillary Price - DR-L - GB (£/MW/h),Ancillary Price - DM-H - GB (£/MW/h),Ancillary Price - DM-L - GB (£/MW/h)
01/01/2023 03:00,839,687,80,80,80,80,689,818,84,12,52,,1.76,3.5,0,3,6.5,
01/01/2023 07:00,869,728,80,80,80,80,676,788,98,16,74,,4,3.5,2.53,4,5.87,
01/01/2023 11:00,860,794,80,80,80,80,635,720,98,16,67,,1.25,2.36,2.33,8,7.5,
01/01/2023 15:00,741,719,80,80,80,80,696,671,89,12,75,,2.58,4.01,12.89,16.1,5.95,
01/01/2023 19:00,659,682,80,80,80,80,755,672,89,15,75,,1,2.36,11.47,7.12,5.95,
01/01/2023 23:00,640,655,80,80,80,80,788,659,98,17,66,,1.1,2.55,1.58,6,6.95,
02/01/2023 03:00,711,618,80,80,80,80,839,908,98,17,54,,5.46,2.9,3.08,3,7.5,
02/01/2023 07:00,749,648,80,80,80,80,741,821,95,15,74,,1.1,3,2.03,4,5.78,
02/01/2023 11:00,669,589,80,80,80,80,608,715,95,15,70,,1,2.55,1.94,8,7.5,
02/01/2023 15:00,470,517,80,80,80,80,662,742,57,15,74,,2.13,8.25,25,14,6.5,
02/01/2023 19:00,450,538,80,80,80,80,769,639,70,10,75,,1.66,2.55,22,6,6.78,
02/01/2023 23:00,522,617,80,80,80,80,806,794,100,22,59,,1.96,2.55,0,10.4,7.88,
03/01/2023 03:00,713,822,80,80,80,80,815,800,100,22,59,,5.45,2.55,0,11.6,7.5,
03/01/2023 07:00,806,875,80,80,80,80,582,662,100,22,74,,0.8,2.55,0,14.28,6.4,
03/01/2023 11:00,677,759,80,80,80,80,428,577,100,22,69,,0.53,1.28,0,17.4,7.5,
03/01/2023 15:00,469,664,80,80,80,80,391,602,66,16,74,,0.01,2.55,25,15,6.5,
03/01/2023 19:00,441,692,80,80,80,80,636,774,67,20,74,,0.8,3.38,22,13,6.5,
03/01/2023 23:00,673,829,80,80,80,80,835,826,97,42,59,,4.41,2.05,0.79,11,6.95,
04/01/2023 03:00,797,872,80,80,80,80,844,825,97,39,56,,12.69,5.95,2.22,4.56,6.88,
04/01/2023 07:00,819,894,80,80,80,80,740,674,97,41,74,,2.1,2.1,0.87,13,6.4,
04/01/2023 11:00,703,761,80,80,80,80,629,604,97,41,69,,1,1.26,0.09,17,6.6,
04/01/2023 15:00,536,688,80,80,80,80,620,740,82,20,74,,0.72,8.89,18,21,6.5,
04/01/2023 19:00,528,720,80,80,80,80,755,767,96,35,72,,1.87,4,4.64,14,5,
04/01/2023 23:00,668,836,80,80,80,80,669,770,90,31,60,3,0.77,2.5,6,0,6.95,0
05/01/2023 03:00,745,730,80,80,80,80,682,881,90,33,59,3,1.5,3,6,6.4,8,1.4
05/01/2023 07:00,754,628,80,80,80,80,453,630,97,32,83,6,0.52,2.49,0.94,13,4.5,3.07
05/01/2023 11:00,515,513,80,80,80,80,352,581,100,38,92,43,0.01,1.58,0,18,0.77,4.1
05/01/2023 15:00,415,457,80,80,80,80,376,717,66,19,82,9,0.11,2.5,20,18,4.56,2.28
05/01/2023 19:00,425,591,80,80,80,80,638,777,90,35,73,3,1,3,0,10,6,1.07
05/01/2023 23:00,716,738,80,80,80,80,691,826,78,26,68,13,2.09,11.35,10,0,5.88,0
06/01/2023 03:00,832,789,80,80,80,80,697,816,78,27,39,,9.4,6.86,12,5,5.88,
06/01/2023 07:00,849,798,80,80,80,80,622,709,82,32,63,,1.48,6.25,14.22,11.78,5.88,
06/01/2023 11:00,738,693,80,80,80,80,462,599,100,28,87,24,1.25,4.5,0,16,2.89,1.43
06/01/2023 15:00,499,479,80,80,80,80,514,609,30,10,88,,2.85,17.02,30,18,3.5,
06/01/2023 19:00,474,609,80,80,80,80,734,771,100,26,49,,9.3,4.95,0,10,6.88,
06/01/2023 23:00,700,737,80,80,80,80,851,837,85,30,56,,1.2,1.76,6,3,6,
07/01/2023 03:00,835,794,80,80,80,80,867,853,85,30,56,,5.23,2.73,6,4,6,
07/01/2023 07:00,866,826,80,80,80,80,775,775,99,31,80,10,5.57,2.9,0.48,10,5.73,2.95
07/01/2023 11:00,832,772,80,80,80,80,705,631,96,34,77,,2.05,2.94,0,10,5.88,
07/01/2023 15:00,625,517,80,80,80,80,706,637,52,11,69,,1.2,2.58,20,0,5.88,
07/01/2023 19:00,628,652,80,80,80,80,777,751,96,26,69,10,2.05,2.55,1.25,6,6,1.95
07/01/2023 23:00,765,753,80,80,80,80,811,827,95,35,56,5,1.1,2.05,0.79,6,6,1.95
08/01/2023 03:00,844,807,80,80,80,80,813,834,95,35,56,5,4.95,2.05,0.97,5,6,1.95
08/01/2023 07:00,864,823,80,80,80,80,820,786,92,31,69,,1.57,3,2.72,1.36,5.88,
08/01/2023 11:00,841,785,80,80,80,80,722,661,93,32,62,9,1.5,2.05,6,6.5,5.88,2.5
08/01/2023 15:00,675,632,80,80,80,80,662,729,62,17,69,,1.5,3,27,10,5.88,
08/01/2023 19:00,599,644,80,80,80,80,754,766,87,28,69,9,2.05,4,7.98,6,6,1.95
08/01/2023 23:00,691,738,80,80,80,80,676,783,93,15,82,,1.1,3,0,2.4,2.71,
09/01/2023 03:00,778,749,80,80,80,80,688,790,93,15,55,5,1.99,2.42,0,2.5,6,1.95
09/01/2023 07:00,822,759,80,80,80,80,508,643,100,23,74,16,0.57,2.69,0,11.24,1.01,2.5
09/01/2023 11:00,616,520,80,80,80,80,464,593,99,33,76,15,1.25,3.2,0,10.06,3,2.5
09/01/2023 15:00,519,478,80,80,80,80,604,740,24,5,69,,1.1,4.3,11.99,2.5,5.88,
09/01/2023 19:00,490,600,80,80,80,80,723,742,100,25,76,17,2.05,2.55,0,14.94,3.13,1.95
09/01/2023 23:00,635,609,80,80,80,80,777,755,94,23,60,13,1.5,2.66,0,9.49,7.34,3.16
10/01/2023 03:00,695,671,80,80,80,80,780,764,94,27,55,6,4.02,2.23,0,13.7,6.02,1.45
10/01/2023 07:00,721,693,80,80,80,80,625,622,96,42,93,45,1.08,2.99,0,18,1.88,1.88
10/01/2023 11:00,619,527,80,80,80,80,572,563,100,48,88,45,1.3,1.85,0,18,1.88,1.88
10/01/2023 15:00,470,453,80,80,80,80,565,701,59,13,92,,0.03,4.9,20,20,0.76,
10/01/2023 19:00,468,587,80,80,80,80,754,765,90,25,68,6,1.94,2.96,1.97,17.75,5.99,1.8
10/01/2023 23:00,688,722,80,80,80,80,810,785,99,31,53,,1.5,2.97,0.42,3,6,
11/01/2023 03:00,811,761,80,80,80,80,812,791,76,21,17,,10.77,3.13,10,3,6,
11/01/2023 07:00,829,769,80,80,80,80,684,623,88,28,62,,1.28,2.63,10,10.11,4.77,
11/01/2023 11:00,676,635,80,80,80,80,665,588,98,43,57,,1.38,1.94,0,10.19,7.02,
11/01/2023 15:00,504,469,80,80,80,80,612,714,72,19,49,,0.55,4.99,20,15,6.87,
11/01/2023 19:00,481,595,80,80,80,80,736,750,90,19,69,,1.94,2.96,10.68,7,6.92,
11/01/2023 23:00,635,614,80,80,80,80,763,771,100,36,84,,8.13,2.54,0,8,1.04,
