GMT Time,Generation - Fuel - Biomass - GB (MW),Generation - Fuel - CCGT - GB (MW),Generation - Fuel - Coal - GB (MW),Generation - Fuel - Hydro - GB (MW),Generation - Fuel - Nuclear - GB (MW),Generation - Fuel - OCGT - GB (MW),Generation - Fuel - Oil - GB (MW),Generation - Fuel - Pumped Storage - GB (MW),Generation - Fuel - Wind - GB (MW),Generation - Fuel - Interconnectors - GB (MW)
01/01/2024 00:00,986,2856,230,535,4673,0,0,-812,10402,3332
01/01/2024 00:30,1002,3025,231,534,4671,0,0,-898,10845,3480
01/01/2024 01:00,992,3015,229,533,4673,0,0,-1458,11218,3192
01/01/2024 01:30,982,2989,230,531,4674,0,0,-1566,11223,2934
01/01/2024 02:00,1009,3431,230,735,4672,48,0,-1460,11234,930
01/01/2024 02:30,980,3139,230,807,4678,49,0,-1556,11437,662
01/01/2024 03:00,987,3178,230,721,4670,48,0,-1534,11434,-22
01/01/2024 03:30,999,3123,229,643,4668,45,0,-1678,11445,-244
01/01/2024 04:00,981,2985,230,588,4667,2,0,-1684,11828,-596
01/01/2024 04:30,991,2696,229,512,4657,0,0,-1658,11878,-652
01/01/2024 05:00,1010,2632,230,527,4659,0,0,-1646,12037,-782
01/01/2024 05:30,1026,2838,230,534,4659,0,0,-1790,12011,-772
01/01/2024 06:00,1050,2783,239,538,4657,0,0,-1622,12044,-306
01/01/2024 06:30,1012,2864,339,672,4661,0,0,-1598,12183,-284
01/01/2024 07:00,1022,2777,344,670,4663,0,0,-1180,12303,-106
01/01/2024 07:30,1224,2803,308,551,4657,0,0,-796,12307,-104
01/01/2024 08:00,1262,2572,237,552,4664,0,0,-858,12361,1342
01/01/2024 08:30,1369,2521,0,665,4665,0,0,-476,12218,1504
01/01/2024 09:00,1393,2336,0,730,4667,0,0,-204,12017,2652
01/01/2024 09:30,1549,2527,0,754,4670,0,0,58,11817,2802
01/01/2024 10:00,1423,2576,0,674,4675,0,0,-446,11379,4488
01/01/2024 10:30,1486,2901,0,697,4667,0,0,-256,10932,4664
01/01/2024 11:00,1693,3610,0,734,4665,0,0,-114,10679,4940
01/01/2024 11:30,1858,4463,0,741,4669,0,0,26,10217,5044
01/01/2024 12:00,1926,5342,0,804,4665,0,0,136,9828,5392
01/01/2024 12:30,1978,6199,0,808,4661,0,0,206,9548,5440
01/01/2024 13:00,2080,7116,0,840,4660,0,0,182,8874,5904
01/01/2024 13:30,2223,7838,0,843,4659,0,0,198,8495,6092
01/01/2024 14:00,2393,8146,0,843,4662,0,0,216,8058,6388
01/01/2024 14:30,2434,8303,0,848,4664,0,0,388,8098,6490
01/01/2024 15:00,2495,8156,0,869,4660,0,0,1226,8162,6568
01/01/2024 15:30,2694,8497,0,866,4666,0,0,1454,8058,6712
01/01/2024 16:00,2874,8795,0,985,4661,0,0,1490,8634,6584
01/01/2024 16:30,2962,8661,0,988,4660,0,0,1642,9091,6592
01/01/2024 17:00,2980,8667,0,989,4666,0,0,1280,9204,6968
01/01/2024 17:30,2997,8055,0,989,4665,0,0,1390,9290,6962
01/01/2024 18:00,2939,7566,0,834,4671,0,0,1244,9665,6646
01/01/2024 18:30,2930,6836,0,639,4670,0,0,978,10443,6446
01/01/2024 19:00,2713,5590,0,584,4668,0,0,624,11212,6358
01/01/2024 19:30,2585,4669,0,579,4674,0,0,90,12055,6186
01/01/2024 20:00,2350,3940,0,549,4671,0,0,-12,12519,5206
01/01/2024 20:30,2141,2975,0,546,4672,0,0,-126,13279,5046
01/01/2024 21:00,1990,2622,0,523,4667,0,0,-416,13953,3360
01/01/2024 21:30,1463,2400,0,506,4671,0,0,-468,13845,3144
01/01/2024 22:00,1087,2439,26,473,4664,0,0,-512,14217,1592
01/01/2024 22:30,1070,2377,174,456,4674,0,0,-1192,14306,1334
01/01/2024 23:00,1061,2517,230,455,4673,0,0,-1430,14958,-1132
01/01/2024 23:30,1082,2697,229,443,4671,0,0,-1630,14666,-1500
02/01/2024 00:00,1025,2632,229,425,4673,0,0,-1420,14690,-1532
02/01/2024 00:30,1010,2765,230,425,4671,0,0,-1388,14510,-1462
02/01/2024 01:00,1082,3015,287,414,4674,1,0,-1142,14592,-2358
02/01/2024 01:30,1147,2948,329,438,4673,0,0,-1810,14388,-2478
02/01/2024 02:00,1042,2751,240,411,4664,0,0,-1652,14032,-1792
02/01/2024 02:30,1025,2737,230,408,4663,0,0,-1492,13748,-1820
02/01/2024 03:00,1052,2774,229,408,4660,0,0,-1570,13403,-1716
02/01/2024 03:30,1048,2793,230,408,4665,2,0,-1624,13232,-1740
