GMT Time,MEL Below PN - Fuel - CCGT - GB (MW),MEL Below PN - Fuel - Nuclear - GB (MW),MEL Below PN - Fuel - Coal - GB (MW),MEL Below PN - Fuel - Biomass - GB (MW),MEL Below PN - Fuel - Pumped Storage - GB (MW),MEL Below PN - Fuel - Interconnectors - GB (MW)
01/01/2024 00:00,-1,0,0,-215,0,0
01/01/2024 00:30,-1,0,0,-215,0,0
01/01/2024 01:00,-1,0,0,-215,0,0
01/01/2024 01:30,-1,0,0,-210.8,0,0
01/01/2024 02:00,-1,0,0,-206,0,0
01/01/2024 02:30,-1,0,0,-206,0,0
01/01/2024 03:00,-1,0,0,-206,0,0
01/01/2024 03:30,-1,0,0,-214.7,0,0
01/01/2024 04:00,-1,0,0,-215,0,0
01/01/2024 04:30,-1,0,0,-215,0,0
01/01/2024 05:00,-1,0,0,-215,0,0
01/01/2024 05:30,-1,0,0,-215,0,0
01/01/2024 06:00,-1,0,0,-215,0,0
01/01/2024 06:30,-1,0,0,-215,0,0
01/01/2024 07:00,-1,0,0,-215,0,0
01/01/2024 07:30,-1,0,0,-238.2,0,0
01/01/2024 08:00,-1,0,0,-280,0,0
01/01/2024 08:30,-9.35,0,0,-293.48,0,0
01/01/2024 09:00,-18.35,0,0,-292.59,0,0
01/01/2024 09:30,-27.35,0,0,-394.9,0,0
01/01/2024 10:00,-36.35,0,0,-520.9,0,0
01/01/2024 10:30,-106.14,0,0,-630.25,0,0
01/01/2024 11:00,-315.28,0,0,-577.33,0,0
01/01/2024 11:30,-868.15,0,0,-427.5,0,0
01/01/2024 12:00,-844.49,0,0,-278.84,0,0
01/01/2024 12:30,-670.04,0,0,-240,0,0
01/01/2024 13:00,-429.17,0,0,-240,0,0
01/01/2024 13:30,-376.13,0,0,-240,0,0
01/01/2024 14:00,-383.42,0,0,-221.06,0,0
01/01/2024 14:30,-326.03,0,0,-196.66,0,0
01/01/2024 15:00,-123.7,0,0,-179.07,0,0
01/01/2024 15:30,-2,0,0,-169,0,0
01/01/2024 16:00,-1,0,0,-159,0,0
01/01/2024 16:30,-1,0,0,-168.6,0,0
01/01/2024 17:00,-1,0,0,-210,0,0
01/01/2024 17:30,-4.9,0,0,-195,0,0
01/01/2024 18:00,-19.2,0,0,-181,0,0
01/01/2024 18:30,-4,0,0,-166.3,0,0
01/01/2024 19:00,-3,0,0,-175.37,0,0
01/01/2024 19:30,-1,0,0,-174,0,0
01/01/2024 20:00,-1,0,0,-369.5,0,0
01/01/2024 20:30,-1,0,0,-511.47,0,0
01/01/2024 21:00,-1,0,0,-471.66,0,0
01/01/2024 21:30,-1,0,0,-189,0,0
01/01/2024 22:00,-1,0,0,-128.8,0,0
01/01/2024 22:30,-1,0,0,-144.02,0,0
01/01/2024 23:00,-1,0,0,-117,0,0
01/01/2024 23:30,-1,0,0,-120.54,0,0
02/01/2024 00:00,-1,0,0,-161.8,0,0
02/01/2024 00:30,-1,0,0,-176.4,0,0
02/01/2024 01:00,-1,0,0,-198,0,0
02/01/2024 01:30,-1,0,0,-197,0,0
02/01/2024 02:00,-1,-11,0,-197,0,0
02/01/2024 02:30,-1,-15,0,-197,0,0
02/01/2024 03:00,-1,-15,0,-197,0,0
02/01/2024 03:30,-1,-15,0,-197,0,0
02/01/2024 04:00,-1,-15,0,-177,0,0
02/01/2024 04:30,-1,-8.07,0,-127.93,0,0
02/01/2024 05:00,0,0,0,-104.87,0,0
02/01/2024 05:30,0,0,0,-97,0,0
02/01/2024 06:00,0,0,0,-124.83,0,0
02/01/2024 06:30,0,0,0,-114,0,0
02/01/2024 07:00,0,0,0,-254.83,0,0
02/01/2024 07:30,-24.24,0,0,-337.05,0,0
02/01/2024 08:00,-108.67,0,0,-417.67,0,0
02/01/2024 08:30,-409.08,0,0,-381.39,0,0
02/01/2024 09:00,-73.88,0,0,-297.17,0,0
02/01/2024 09:30,-12.71,0,0,-202.5,0,0
02/01/2024 10:00,-101.3,0,0,-120.84,0,0
02/01/2024 10:30,-260.29,0,0,-147,0,0
02/01/2024 11:00,-190.56,0,0,-149.67,0,0
02/01/2024 11:30,-38.04,0,0,-141.33,0,0
02/01/2024 12:00,-59.88,0,0,-141,0,0
02/01/2024 12:30,-68.72,0,0,-131.33,0,0
02/01/2024 13:00,-40.04,0,0,-131,0,0
02/01/2024 13:30,-33.27,0,0,-133.62,0,0
02/01/2024 14:00,-28.99,0,0,-134,0,0
02/01/2024 14:30,-3.27,0,0,-134.33,0,0
02/01/2024 15:00,-100.68,0,0,-138.57,0,0
02/01/2024 15:30,-46.67,0,0,-141,0,0
02/01/2024 16:00,-40.97,0,0,-143.63,0,0
02/01/2024 16:30,-40,0,0,-100.83,0,0
02/01/2024 17:00,-40.97,0,0,-97,0,0
02/01/2024 17:30,0,0,0,-97,0,0
02/01/2024 18:00,-0.97,0,0,-100.17,0,0
02/01/2024 18:30,-1.6,0,0,-120,0,0
02/01/2024 19:00,-3,0,0,-160.83,0,0
02/01/2024 19:30,-3,0,0,-165,0,0
02/01/2024 20:00,-0.1,0,0,-165,0,0
02/01/2024 20:30,-1,0,0,-123.83,0,0
02/01/2024 21:00,0,0,0,-120,0,0
02/01/2024 21:30,0,0,0,-120,0,0
02/01/2024 22:00,0,0,0,-120,0,0
02/01/2024 22:30,-1.89,0,0,-120,0,0
02/01/2024 23:00,0,0,0,-300.89,0,0
02/01/2024 23:30,0,0,0,-351,0,0
03/01/2024 00:00,0,0,0,-351,0,0
03/01/2024 00:30,0,0,0,-351,0,0
03/01/2024 01:00,-1,0,0,-351,0,0
03/01/2024 01:30,0,0,0,-351,0,0
03/01/2024 02:00,0,0,0,-351,0,0
03/01/2024 02:30,-54,0,0,-351,0,0
03/01/2024 03:00,-186.45,0,0,-351,0,0
03/01/2024 03:30,-414,0,0,-351,0,0
03/01/2024 04:00,0,0,0,-351,0,0
03/01/2024 04:30,0,0,0,-351,0,0
03/01/2024 05:00,-26.13,-1,0,-351,0,0
03/01/2024 05:30,-5.53,-1,0,-351,0,0
03/01/2024 06:00,-46.77,-1,0,-351,0,0
03/01/2024 06:30,-376.22,-1,0,-351,0,0
03/01/2024 07:00,-792.28,-1,0,-355.58,0,0
03/01/2024 07:30,-579.67,-1,0,-376,0,0
03/01/2024 08:00,-642.65,-1,0,-373.45,0,0
03/01/2024 08:30,-557.72,-1,0,-413.3,0,0
03/01/2024 09:00,-561.4,-1,0,-413,0,0
03/01/2024 09:30,-640.92,-1,0,-413,0,0
03/01/2024 10:00,-844.37,-1,0,-413,0,0
03/01/2024 10:30,-430,-1,0,-380.16,0,0
03/01/2024 11:00,-430,-1,0,-447.3,0,0
03/01/2024 11:30,-430.53,-1,0,-316.98,0,0
03/01/2024 12:00,-443.22,-1,0,-198.41,0,0
03/01/2024 12:30,-465.48,-1,0,-101,0,0
03/01/2024 13:00,-450.34,-1,0,-101,0,0
03/01/2024 13:30,-229.03,-1,0,-101,0,0
03/01/2024 14:00,-69.64,-1,0,-101,0,0
03/01/2024 14:30,-15,-1,0,-101,0,0
03/01/2024 15:00,-14.93,-1,0,-101,0,0
03/01/2024 15:30,-14.55,-1,0,-101,0,0
03/01/2024 16:00,-18.45,-1,0,-101,0,0
03/01/2024 16:30,-18.45,-1,0,-107.33,0,0
03/01/2024 17:00,-17,-1,0,-104.67,0,0
03/01/2024 17:30,-17.68,-1,0,-101,0,0
03/01/2024 18:00,-10,-1,0,-101,0,0
03/01/2024 18:30,-12.53,-1,0,-101,0,0
03/01/2024 19:00,-12.4,-1,0,-101,0,0
03/01/2024 19:30,-1,-1,0,-101,0,0
03/01/2024 20:00,-2,-1,0,-41,0,0
03/01/2024 20:30,-2.52,-1,0,-41,0,0
03/01/2024 21:00,-11.65,-1,0,-41,0,0
03/01/2024 21:30,-2,-1,0,-41,0,0
03/01/2024 22:00,-2,-1,0,-41,0,0
03/01/2024 22:30,-2,-1,0,-43.9,0,0
03/01/2024 23:00,-5.83,-1,0,-39.75,0,0
03/01/2024 23:30,-7,-1,0,-52,0,0
04/01/2024 00:00,-8,-1,0,-59.8,0,0
04/01/2024 00:30,-8,-1,0,-52.93,0,0
04/01/2024 01:00,-5.4,-1,0,-44,0,0
04/01/2024 01:30,-6,-1,0,-65.17,0,0
04/01/2024 02:00,-6,-1,0,-102,0,0
04/01/2024 02:30,-6.93,-1,0,-113.67,0,0
04/01/2024 03:00,-5,-1,0,-55.5,0,0
04/01/2024 03:30,-4,-1,0,-37,0,0
04/01/2024 04:00,-4,-1,0,-37,0,0
04/01/2024 04:30,-46,-1,0,-37,0,0
04/01/2024 05:00,-71.63,0,0,-37,0,0
04/01/2024 05:30,-106.87,0,0,-37,0,0
04/01/2024 06:00,-243.51,0,0,-40.73,0,0
04/01/2024 06:30,-384.01,0,0,-41,0,0
04/01/2024 07:00,-529.93,0,0,-41,0,0
04/01/2024 07:30,-539.67,0,0,-41,0,0
04/01/2024 08:00,-556.65,0,0,-43.25,0,0
04/01/2024 08:30,-553.64,0,0,-86,0,0
04/01/2024 09:00,-545.67,0,0,-86.27,0,0
04/01/2024 09:30,-541.17,0,0,-88,0,0
04/01/2024 10:00,-541.5,0,0,-93.83,0,0
04/01/2024 10:30,-523.03,0,0,-99.25,0,0
04/01/2024 11:00,-523.01,0,0,-112.17,0,0
04/01/2024 11:30,-538,0,0,-113,0,0
04/01/2024 12:00,-543.7,0,0,-113,0,0
04/01/2024 12:30,-547.3,0,0,-113,0,0
04/01/2024 13:00,-10,0,0,-89.25,0,0
04/01/2024 13:30,-10.73,0,0,-91.25,0,0
04/01/2024 14:00,-8.4,0,-4.4,-100.92,0,0
04/01/2024 14:30,-7,0,-80,-98,0,0
04/01/2024 15:00,-6.03,0,-80,-97.63,0,0
04/01/2024 15:30,-4,0,-50.62,-45.2,0,0
04/01/2024 16:00,-3.03,0,0,-50.08,0,0
04/01/2024 16:30,-8.88,0,0,-129.12,0,0
04/01/2024 17:00,-10.9,0,0,-302.95,0,0
04/01/2024 17:30,-6.04,0,0,-349.33,0,0
04/01/2024 18:00,-8.49,0,0,-399,0,0
04/01/2024 18:30,-10.33,0,-16,-345,0,0
04/01/2024 19:00,-11,0,0,-359,0,0
04/01/2024 19:30,-15.67,0,0,-349.99,0,0
04/01/2024 20:00,-16.03,0,0,-338.67,0,0
04/01/2024 20:30,-9,0,0,-339,0,0
04/01/2024 21:00,-7.96,0,0,-339,0,0
04/01/2024 21:30,-2.97,0,0,-339,0,0
04/01/2024 22:00,-2.97,0,0,-315.25,0,0
04/01/2024 22:30,-3,0,0,-314,0,0
04/01/2024 23:00,-1,-3.5,0,-314,0,0
04/01/2024 23:30,-1,-101.5,0,-313.99,0,0
05/01/2024 00:00,-1.87,-359.33,0,-289.43,0,0
05/01/2024 00:30,-1.03,-375,0,-291.25,0,0
05/01/2024 01:00,-1,-375,0,-304,0,0
05/01/2024 01:30,-1.33,0,0,-294.5,0,0
05/01/2024 02:00,-1,0,0,-297.25,0,0
05/01/2024 02:30,-1,0,0,-304,0,0
05/01/2024 03:00,-1,0,0,-304,0,0
05/01/2024 03:30,-1,0,0,-313.33,0,0
05/01/2024 04:00,-1,0,0,-314,0,0
05/01/2024 04:30,-1,0,0,-314,0,0
05/01/2024 05:00,0,0,0,-319,0,0
05/01/2024 05:30,-0.3,0,0,-326.18,0,0
05/01/2024 06:00,0,0,0,-364.42,0,0
05/01/2024 06:30,-84.4,0,0,-340.5,0,0
05/01/2024 07:00,-174.82,0,0,-339.25,0,0
05/01/2024 07:30,-13.6,0,0,-364.5,0,0
05/01/2024 08:00,-34.02,0,0,-379,0,0
05/01/2024 08:30,-30.64,0,0,-352.75,0,0
05/01/2024 09:00,-29.58,0,0,-349,0,0
05/01/2024 09:30,-19.04,0,0,-311,0,0
05/01/2024 10:00,-14.83,0,0,-309,0,0
05/01/2024 10:30,-14.04,0,0,-296.28,0,0
05/01/2024 11:00,-2.03,0,0,-292,0,0
05/01/2024 11:30,-3.8,0,0,-296.6,0,0
05/01/2024 12:00,-2.03,0,0,-303.45,0,0
05/01/2024 12:30,-3.03,0,0,-296.65,0,0
05/01/2024 13:00,-1,0,0,-292,0,0
05/01/2024 13:30,0,0,0,-292,0,0
05/01/2024 14:00,-71.54,0,0,-292,0,0
05/01/2024 14:30,-8.2,0,0,-292,0,0
05/01/2024 15:00,0,0,0,-293.33,0,0
05/01/2024 15:30,0,0,0,-292,0,0
05/01/2024 16:00,-2,0,0,-292,0,0
05/01/2024 16:30,0,0,0,-292,0,0
05/01/2024 17:00,-0.3,0,0,-292,0,0
05/01/2024 17:30,0,0,0,-333.7,0,0
05/01/2024 18:00,0,0,0,-457.78,0,0
05/01/2024 18:30,-1,0,0,-448.95,0,0
05/01/2024 19:00,-1,0,0,-458,0,0
05/01/2024 19:30,-3.97,0,0,-458,0,0
05/01/2024 20:00,-3,0,0,-420.67,0,0
05/01/2024 20:30,-0.63,0,0,-388,0,0
05/01/2024 21:00,-9,0,0,-364.25,0,0
05/01/2024 21:30,-28,0,0,-345.43,0,0
05/01/2024 22:00,-272.33,0,0,-292.25,0,0
05/01/2024 22:30,-423,0,0,-302,0,0
05/01/2024 23:00,-351.09,0,0,-311,0,0
05/01/2024 23:30,-124,0,0,-332,0,0
06/01/2024 00:00,-0.03,0,0,-355.5,0,0
06/01/2024 00:30,0,0,0,-372,0,0
06/01/2024 01:00,0,0,0,-377,0,0
06/01/2024 01:30,0,0,0,-377,0,0
06/01/2024 02:00,0,-6.77,0,-377,0,0
06/01/2024 02:30,0,-20.77,0,-377,0,0
06/01/2024 03:00,0,-34.77,0,-359.3,0,0
06/01/2024 03:30,0,-48.77,0,-343.75,0,0
06/01/2024 04:00,0,-62.77,0,-332,0,0
06/01/2024 04:30,-12.9,-76.77,0,-332,0,0
06/01/2024 05:00,-7.2,-89.28,0,-290.75,0,0
06/01/2024 05:30,-27.6,-102.77,0,-287,0,0
06/01/2024 06:00,-10,-116.77,0,-287,0,0
06/01/2024 06:30,-12.58,-130.77,0,-287,0,0
06/01/2024 07:00,-4.78,-144.77,0,-302.85,0,0
06/01/2024 07:30,-9.45,-158.77,0,-292,0,0
06/01/2024 08:00,-102.9,-172.77,0,-300.67,0,0
06/01/2024 08:30,-120.09,-186.77,0,-323.33,0,0
06/01/2024 09:00,-125,-200.77,0,-332,0,0
06/01/2024 09:30,-123.34,-214.77,0,-334,0,0
06/01/2024 10:00,-90.73,-228.77,0,-334,0,0
06/01/2024 10:30,-107.17,-242.77,0,-334,0,0
06/01/2024 11:00,-10.03,-256.77,0,-334,0,0
06/01/2024 11:30,-15.43,-270.28,0,-334,0,0
06/01/2024 12:00,-7.03,-283.77,0,-375.15,0,0
